"Month
",Mobile,Calls,Text,Online
Feb-16,,,,
Jan-16,100363,1935722,33498,1338660
Dec-15,82500,1630557,9473,994332
Nov-15,80456,1553428,11741,968918
Oct-15,82804,1614560,10989,1003197
Sep-15,86448,1872508,10657,1060214
Aug-15,57474,1063692,10045,884275
Jul-15,75237,1538296,13884,1037745
Jun-15,59048,1214066,13234,937785
May-15,72758,1334771,13325,865297
Apr-15,80499,1612031,10721,860321
Mar-15,82608,2155559,17707,1006750
Feb-15,88979,3236366,22599,1087148
Jan-15,72319,2412937,30153,1194413
Dec-14,48955,1632642,10546,645153
Nov-14,46481,1643810,14056,602772
Oct-14,46116,1937369,11401,714406
Sep-14,35869,1310699,9810,608637
Aug-14,33214,1187892,10561,551380
Jul-14,35935,1400445,11349,581518
Jun-14,30771,1369260,8806,546667
